[:Updated by Randall Pierce 2/2/06

Pinyin	ARPAbet
"sa",	S_A_
"sai",	S_AY
"san",	S_A_N_
"sang",	S_AANX
"sao",	S_AW
"se",	S_UC
"sen",	S_AHN_
"seng",	S_AHNX
"sha",	SRA_
"shai",	SRAY
"shan",	SRA_N_
"shang",	SRAANX
"shao",	SRAW
"she",	SRUC
"shei",	SREY
"shen",	SRAHN_
"sheng",	SRAHNX
"shi",	SRIR
"shou",	SROW
"shu",	SRUW
"shua",	SRWUA_
"shuai",	SRWUAY
"shuan",	SRWUA_N_
"shuang",	SRWUAANX
"shui",	SRWUEY
"shun",	SRWUAXN_
"shuo",	SRWUWO
"si",	S_IF
"song",	S_UHNX
"sou",	S_OW
"su",	S_UW
"suan",	S_WUA_N_
"sui",	S_WUEY
"sun",	S_WUAXN_
"suo",	S_WUWO
"ta",	T_A_
"tai",	T_AY
"tan",	T_A_N_
"tang",	T_AANX
"tao",	T_AW
"te",	T_UC
"teng",	T_AHNX
"ti",	T_IY
"tian",	T_YIEHN_
"tiao",	T_YIAW
"tie",	T_YIEH
"ting",	T_IYNX
"tong",	T_UHNX
"tou",	T_OW
"tu",	T_UW
"tuan",	T_WUA_N_
"tui",	T_WUEY
"tun",	T_WUAXN_
"tuo",	T_WUWO
"wa",	W_A_
"wai",	W_AY
"wan",	W_A_N_
"wang",	W_AANX
"wei",	W_EY
"wen",	W_AHN_
"weng",	W_AHNX
"wo",	W_WO
"wu",	UW
"xi",	TJIY
"xia",	TJYIA_
"xian",	TJYIEHN_
"xiang",	TJYIAANX
"xiao",	TJYIAW
"xie",	TJYIEH
"xin",	TJIYN_
"xing",	TJIYNX
"xiong",	TJYIUHNX
"xiu",	TJYIOW
"xu",	TJUE
"xuan",	TJUEA_N_
"xue",	TJUEEH
"xun",	TJUEN_
"ya",	Y_A_
"yan",	Y_EHN_
"yang",	Y_AANX
"yao",	Y_AW
"ye",	Y_EH
"yi",	Y_IY
"yin",	Y_IYN_
"ying",	Y_IYNX
"yo",	Y_WO
"yong",	Y_UHNX
"you",	Y_OW
"yu",	UE
"yuan",	Y_UEA_N_
"yue",	UEEH
"yun",	Y_UEN_
"za",	DSA_
"zai",	DSAY
"zan",	DSA_N_
"zang",	DSAANX
"zao",	DSAW
"ze",	DSUC
"zei",	DSEY
"zen",	DSAHN_
"zeng",	DSAHNX
"zha",	D1A_
"zhai",	D1AY
"zhan",	D1A_N_
"zhang",	D1AANX
"zhao",	D1AW
"zhe",	D1UC
"zhei",	D1EY
"zhen",	D1AHN_
"zheng",	D1AHNX
"zhi",	D1IR
"zhong",	D1UHNX
"zhou",	D1OW
"zhu",	D1UW
"zhua",	D1WUA_
"zhuai",	D1WUAY
"zhuan",	D1WUA_N_
"zhuang",	D1WUAANX
"zhui",	D1WUEY
"zhun",	D1WUAXN_
"zhuo",	D1WUWO
"zi",	DSIF
"zong",	DSUHNX
"zou",	DSOW
"zu",	DSUW
"zuan",	DSWUA_N_
"zui",	DSWUEY
"zun",	DSWUAXN_
"zuo"	DSWUWO



